iter	Passed	Remaining
768	2201	9250
769	2204	9247
770	2209	9254
771	2214	9259
772	2220	9268
773	2222	9263
774	2225	9259
775	2228	9258
776	2231	9256
777	2236	9263
778	2239	9260
779	2242	9257
780	2249	9273
781	2254	9277
782	2257	9274
783	2260	9272
784	2262	9267
785	2264	9258
786	2266	9254
787	2271	9258
788	2273	9251
789	2275	9245
790	2279	9246
791	2282	9244
792	2287	9249
793	2290	9247
794	2293	9246
795	2296	9241
796	2297	9231
797	2299	9228
798	2302	9225
799	2305	9221
800	2307	9214
801	2310	9211
802	2312	9207
803	2317	9211
804	2320	9209
805	2323	9206
806	2330	9219
807	2331	9209
808	2333	9205
809	2336	9203
810	2339	9199
811	2341	9194
812	2344	9191
813	2347	9188
814	2350	9185
815	2353	9183
816	2358	9188
817	2361	9184
818	2363	9180
819	2366	9176
820	2369	9175
821	2372	9171
822	2377	9177
823	2380	9174
824	2383	9172
825	2385	9165
826	2387	9159
827	2392	9166
828	2395	9163
829	2398	9162
830	2402	9162
831	2408	9169
832	2413	9175
833	2415	9169
834	2421	9177
835	2423	9172
836	2425	9166
837	2428	9163
838	2430	9158
839	2434	9159
840	2437	9156
841	2441	9157
842	2444	9154
843	2448	9155
844	2450	9150
845	2453	9146
846	2460	9157
847	2463	9156
848	2465	9152
849	2469	9152
850	2473	9153
851	2476	9148
852	2478	9145
853	2481	9140
854	2483	9135
855	2486	9132
856	2489	9129
857	2491	9124
858	2494	9121
859	2497	9117
860	2500	9115
861	2503	9114
862	2506	9109
863	2507	9100
864	2510	9096
865	2510	9085
866	2512	9080
867	2515	9077
868	2518	9074
869	2520	9067
870	2523	9065
871	2526	9063
872	2529	9059
873	2533	9061
874	2535	9057
875	2538	9051
876	2541	9052
877	2544	9049
878	2547	9046
879	2551	9046
880	2554	9044
881	2557	9039
882	2560	9040
883	2564	9040
884	2569	9042
885	2573	9046
886	2576	9043
887	2579	9041
888	2582	9037
889	2587	9041
890	2590	9038
891	2593	9035
892	2596	9032
893	2599	9029
894	2600	9020
895	2602	9015
896	2604	9010
897	2607	9007
898	2610	9004
899	2613	9001
900	2616	9000
901	2619	8995
902	2622	8992
903	2624	8988
904	2626	8983
905	2627	8974
906	2630	8970
907	2635	8975
908	2638	8972
909	2641	8967
910	2642	8959
911	2644	8953
912	2646	8949
913	2650	8950
914	2653	8945
915	2656	8942
916	2658	8939
917	2660	8930
918	2664	8934
919	2668	8933
920	2671	8931
921	2674	8929
922	2677	8924
923	2679	8919
924	2684	8922
925	2687	8920
926	2689	8917
927	2690	8907
928	2692	8901
929	2694	8893
930	2695	8884
931	2700	8888
932	2706	8896
933	2709	8894
934	2711	8889
935	2722	8912
936	2725	8908
937	2729	8909
938	2736	8922
939	2742	8927
940	2747	8930
941	2751	8932
942	2754	8930
943	2758	8929
944	2760	8924
945	2764	8923
946	2771	8935
947	2774	8933
948	2777	8928
949	2780	8926
950	2782	8922
951	2785	8918
952	2787	8913
953	2792	8916
954	2794	8909
955	2799	8915
956	2805	8919
957	2809	8921
958	2812	8917
959	2814	8913
960	2817	8909
961	2822	8911
962	2824	8908
963	2832	8920
964	2837	8924
965	2840	8922
966	2845	8925
967	2852	8933
968	2854	8930
969	2858	8929
970	2860	8924
971	2866	8928
972	2868	8922
973	2870	8918
974	2874	8917
975	2875	8908
976	2878	8906
977	2880	8902
978	2885	8905
979	2888	8901
980	2893	8904
981	2898	8908
982	2901	8904
983	2904	8901
984	2911	8912
985	2916	8916
986	2919	8913
987	2924	8915
988	2927	8912
989	2929	8908
990	2958	8984
991	2959	8974
992	2961	8966
993	2965	8969
994	2971	8973
995	2976	8976
996	2979	8974
997	2982	8971
998	2985	8967
999	2988	8965
1000	2991	8962
1001	2994	8959
1002	2997	8956
1003	3000	8952
1004	3003	8949
1005	3004	8943
1006	3008	8941
1007	3010	8934
1008	3016	8941
1009	3018	8936
1010	3021	8931
1011	3023	8925
1012	3024	8918
1013	3029	8920
1014	3033	8920
1015	3036	8919
1016	3039	8916
1017	3043	8914
1018	3046	8911
1019	3049	8907
1020	3051	8904
1021	3054	8900
1022	3057	8897
1023	3060	8894
1024	3064	8893
1025	3067	8890
1026	3070	8887
1027	3073	8884
1028	3075	8880
1029	3078	8877
1030	3080	8871
1031	3083	8868
1032	3086	8865
1033	3089	8862
1034	3092	8858
1035	3095	8855
1036	3098	8852
1037	3101	8851
1038	3103	8844
1039	3105	8839
1040	3108	8835
1041	3110	8829
1042	3112	8824
1043	3113	8815
1044	3116	8813
1045	3119	8809
1046	3122	8806
1047	3124	8802
1048	3127	8797
1049	3130	8794
1050	3131	8785
1051	3134	8782
1052	3136	8778
1053	3139	8775
1054	3142	8772
1055	3145	8769
1056	3148	8766
1057	3151	8763
1058	3154	8759
1059	3156	8754
1060	3158	8750
1061	3162	8750
1062	3166	8748
1063	3169	8746
1064	3172	8742
1065	3175	8739
1066	3178	8736
1067	3180	8732
1068	3183	8729
1069	3186	8726
1070	3189	8722
1071	3191	8718
1072	3195	8716
1073	3198	8713
1074	3200	8708
1075	3202	8703
1076	3205	8700
1077	3208	8697
1078	3211	8694
1079	3214	8690
1080	3217	8687
1081	3220	8683
1082	3221	8678
1083	3224	8673
1084	3227	8670
1085	3230	8668
1086	3233	8664
1087	3236	8661
1088	3238	8656
1089	3240	8650
1090	3242	8645
1091	3244	8641
1092	3246	8635
1093	3249	8631
1094	3251	8626
1095	3254	8622
1096	3256	8618
1097	3259	8615
1098	3261	8610
1099	3264	8606
1100	3267	8603
1101	3269	8598
1102	3272	8595
1103	3275	8592
1104	3278	8589
1105	3281	8585
1106	3284	8584
1107	3287	8581
1108	3290	8578
1109	3292	8571
1110	3295	8568
1111	3297	8564
1112	3301	8563
1113	3304	8561
1114	3309	8562
1115	3312	8559
1116	3315	8556
1117	3318	8553
1118	3320	8549
1119	3322	8544
1120	3326	8542
1121	3328	8538
1122	3330	8532
1123	3333	8529
1124	3336	8526
1125	3339	8524
1126	3342	8520
1127	3345	8518
1128	3348	8514
1129	3350	8508
1130	3353	8506
1131	3356	8502
1132	3360	8502
1133	3365	8505
1134	3367	8499
1135	3369	8494
1136	3370	8487
1137	3374	8486
1138	3375	8479
1139	3380	8481
1140	3382	8476
1141	3386	8475
1142	3391	8477
1143	3393	8471
1144	3396	8468
1145	3399	8465
1146	3403	8464
1147	3405	8461
1148	3408	8457
1149	3410	8452
1150	3414	8452
1151	3417	8448
1152	3420	8444
1153	3422	8440
1154	3423	8432
1155	3426	8429
1156	3429	8427
1157	3432	8424
1158	3435	8420
1159	3438	8417
1160	3440	8414
1161	3443	8411
1162	3446	8408
1163	3449	8404
1164	3451	8399
1165	3454	8396
1166	3457	8393
1167	3460	8389
1168	3462	8384
1169	3465	8382
1170	3468	8378
1171	3470	8375
1172	3473	8372
1173	3477	8369
1174	3480	8366
1175	3482	8363
1176	3486	8362
1177	3489	8359
1178	3491	8354
1179	3494	8351
1180	3497	8348
1181	3500	8345
1182	3503	8342
1183	3506	8339
1184	3508	8335
1185	3511	8331
1186	3513	8327
1187	3516	8324
1188	3519	8321
1189	3522	8318
1190	3525	8314
1191	3528	8311
1192	3530	8306
1193	3533	8302
1194	3535	8299
1195	3539	8297
1196	3541	8293
1197	3544	8290
1198	3549	8292
1199	3551	8287
1200	3553	8281
1201	3556	8278
1202	3559	8275
1203	3562	8272
1204	3564	8267
1205	3567	8264
1206	3570	8262
1207	3572	8256
1208	3574	8252
1209	3577	8250
1210	3580	8245
1211	3582	8240
1212	3584	8235
1213	3587	8231
1214	3590	8229
1215	3592	8225
1216	3597	8225
1217	3599	8222
1218	3605	8226
1219	3608	8221
1220	3610	8218
1221	3616	8220
1222	3618	8215
1223	3621	8213
1224	3626	8215
1225	3633	8222
1226	3638	8222
1227	3641	8220
1228	3644	8218
1229	3650	8221
1230	3653	8217
1231	3655	8212
1232	3657	8208
1233	3662	8209
1234	3667	8210
1235	3669	8205
1236	3673	8205
1237	3676	8201
1238	3679	8198
1239	3686	8205
1240	3689	8202
1241	3695	8206
1242	3704	8216
1243	3706	8212
1244	3709	8208
1245	3710	8200
1246	3713	8197
1247	3715	8193
1248	3719	8192
1249	3724	8193
1250	3726	8189
1251	3730	8187
1252	3735	8189
1253	3738	8187
1254	3742	8184
1255	3745	8181
1256	3751	8185
1257	3755	8185
1258	3759	8184
1259	3768	8194
1260	3773	8196
1261	3776	8193
1262	3783	8198
1263	3788	8199
1264	3792	8199
1265	3798	8202
1266	3804	8205
1267	3805	8199
1268	3808	8195
1269	3813	8198
1270	3815	8192
1271	3817	8188
1272	3822	8189
1273	3825	8185
1274	3830	8186
1275	3831	8179
1276	3834	8176
1277	3837	8172
1278	3840	8170
1279	3844	8170
1280	3846	8165
1281	3849	8160
1282	3851	8157
1283	3854	8154
1284	3857	8150
1285	3862	8151
1286	3865	8148
1287	3867	8143
1288	3869	8138
1289	3872	8135
1290	3875	8132
1291	3878	8128
1292	3880	8125
1293	3883	8120
1294	3886	8117
1295	3889	8114
1296	3891	8110
1297	3893	8105
1298	3896	8102
1299	3899	8099
1300	3902	8096
1301	3905	8092
1302	3908	8089
1303	3911	8086
1304	3914	8083
1305	3917	8080
1306	3920	8077
1307	3923	8073
1308	3925	8070
1309	3929	8068
1310	3932	8065
1311	3934	8061
1312	3955	8095
1313	3972	8119
1314	3975	8116
1315	3977	8111
1316	3978	8105
1317	3981	8101
1318	3984	8099
1319	3988	8097
1320	3991	8094
1321	3992	8088
1322	3995	8085
1323	3998	8081
1324	4002	8080
1325	4005	8077
1326	4008	8074
1327	4011	8071
1328	4013	8066
1329	4016	8062
1330	4020	8061
1331	4022	8058
1332	4027	8057
1333	4029	8053
1334	4032	8050
1335	4035	8047
1336	4042	8051
1337	4045	8049
1338	4048	8045
1339	4051	8042
1340	4054	8039
1341	4057	8035
1342	4060	8032
1343	4062	8028
1344	4064	8024
1345	4067	8020
1346	4070	8017
1347	4073	8014
1348	4076	8011
1349	4079	8008
1350	4083	8005
1351	4084	8000
1352	4088	7998
1353	4091	7995
1354	4094	7992
1355	4097	7988
1356	4099	7985
1357	4102	7981
1358	4105	7978
1359	4108	7975
1360	4111	7972
1361	4115	7970
1362	4118	7967
1363	4121	7964
1364	4124	7961
1365	4127	7959
1366	4131	7957
1367	4135	7956
1368	4138	7952
1369	4140	7948
1370	4143	7945
1371	4146	7942
1372	4148	7938
1373	4151	7933
1374	4154	7930
1375	4157	7927
1376	4159	7924
1377	4162	7921
1378	4165	7917
1379	4168	7914
1380	4171	7911
1381	4174	7908
1382	4177	7905
1383	4180	7902
1384	4183	7898
1385	4186	7895
1386	4189	7892
1387	4192	7889
1388	4195	7885
1389	4198	7882
1390	4201	7879
1391	4203	7876
1392	4206	7873
1393	4209	7869
1394	4212	7866
1395	4215	7863
1396	4218	7860
1397	4221	7857
1398	4224	7854
1399	4227	7850
1400	4230	7847
1401	4233	7844
1402	4236	7841
1403	4239	7838
1404	4241	7834
1405	4244	7831
1406	4246	7825
1407	4248	7821
1408	4251	7818
1409	4254	7814
1410	4257	7811
1411	4260	7808
1412	4263	7805
1413	4266	7802
1414	4269	7799
1415	4272	7795
1416	4275	7792
1417	4276	7786
1418	4278	7782
1419	4283	7783
1420	4286	7780
1421	4289	7776
1422	4291	7771
1423	4294	7768
1424	4297	7765
1425	4299	7761
1426	4304	7760
1427	4307	7757
1428	4310	7754
1429	4313	7751
1430	4315	7747
1431	4317	7743
1432	4320	7739
1433	4324	7738
1434	4327	7734
1435	4329	7731
1436	4332	7726
1437	4334	7722
1438	4337	7719
1439	4340	7716
1440	4343	7713
1441	4346	7710
1442	4348	7706
1443	4350	7700
1444	4352	7696
1445	4356	7695
1446	4358	7689
1447	4362	7688
1448	4367	7688
1449	4372	7689
1450	4375	7686
1451	4381	7688
1452	4385	7687
1453	4389	7686
1454	4393	7684
1455	4400	7688
1456	4404	7686
1457	4407	7684
1458	4409	7679
1459	4411	7674
1460	4415	7672
1461	4417	7668
1462	4418	7662
1463	4420	7657
1464	4424	7655
1465	4426	7650
1466	4428	7646
1467	4432	7645
1468	4434	7640
1469	4436	7636
1470	4442	7637
1471	4444	7633
1472	4448	7631
1473	4453	7631
1474	4456	7629
1475	4461	7628
1476	4462	7623
1477	4466	7620
1478	4469	7618
1479	4471	7612
1480	4474	7609
1481	4475	7604
1482	4480	7604
1483	4485	7604
1484	4489	7604
1485	4497	7608
1486	4504	7612
1487	4508	7611
1488	4515	7614
1489	4517	7609
1490	4521	7609
1491	4529	7613
1492	4533	7613
1493	4538	7613
1494	4545	7617
1495	4552	7619
1496	4554	7615
1497	4563	7622
1498	4568	7621
1499	4571	7618
1500	4577	7621
1501	4580	7618
1502	4583	7615
1503	4586	7611
1504	4587	7605
1505	4592	7605
1506	4597	7605
1507	4604	7608
1508	4608	7607
1509	4611	7604
1510	4614	7600
1511	4620	7602
1512	4623	7600
1513	4626	7597
1514	4628	7592
1515	4630	7586
1516	4632	7581
1517	4637	7582
1518	4640	7579
1519	4642	7574
1520	4644	7570
1521	4653	7577
